"focal","origin"
"GZA","Eric B. & Rakim"
"2Pac","Eric B. & Rakim"
"Busta Rhymes","Eric B. & Rakim"
"Aceyalone","Eric B. & Rakim"
"Nas","Eric B. & Rakim"
"Jay-Z","Eric B. & Rakim"
"Wu-Tang Clan","Eric B. & Rakim"
"Mobb Deep","Eric B. & Rakim"
"Ghostface Killah","Eric B. & Rakim"
"The Game","Eric B. & Rakim"
"Method Man","Eric B. & Rakim"
"Jim Jones","Eric B. & Rakim"
"The Roots","Eric B. & Rakim"
"Clipse","Eric B. & Rakim"
"Talib Kweli","Eric B. & Rakim"
"Ohmega Watts","Eric B. & Rakim"
"Dilated Peoples","Eric B. & Rakim"
"UGK","Eric B. & Rakim"
"Cormega","Eric B. & Rakim"
"Del the Funky Homosapien","Eric B. & Rakim"
"Spearhead","Eric B. & Rakim"
"Ol' Dirty Bastard","Eric B. & Rakim"
"Erick Sermon","Eric B. & Rakim"
"MF Doom","Eric B. & Rakim"
"Shyne","Eric B. & Rakim"
"Ja Rule","Eric B. & Rakim"
"Gravediggaz","Eric B. & Rakim"
"Kool Keith","Eric B. & Rakim"
"MED","Eric B. & Rakim"
"Canibus","Eric B. & Rakim"
"Black Rob","Eric B. & Rakim"
"De La Soul","Eric B. & Rakim"
"Slum Village","Eric B. & Rakim"
"MC Breed","Eric B. & Rakim"
"Consequence","Eric B. & Rakim"
"AZ","Eric B. & Rakim"
"Keith Murray","Eric B. & Rakim"
"The Perceptionists","Eric B. & Rakim"
"Guru","Eric B. & Rakim"
"DJ Logic","Eric B. & Rakim"
"The Cool Kids","Eric B. & Rakim"
"Common Market","Eric B. & Rakim"
"DJ Shadow","Eric B. & Rakim"
"EPMD","Eric B. & Rakim"
"Capone-N-Noreaga","Eric B. & Rakim"
"Onyx","Eric B. & Rakim"
"Funkmaster Flex","Eric B. & Rakim"
"Soul Position","Eric B. & Rakim"
"Mr. Lif","Eric B. & Rakim"
"Jahir & The Experiment","Eric B. & Rakim"
"Blackalicious","Eric B. & Rakim"
"The Proov","Eric B. & Rakim"
"Pete Rock","Eric B. & Rakim"
"Goodie Mob","Eric B. & Rakim"
"Ill Biskits","Eric B. & Rakim"
"A Tribe Called Quest","Eric B. & Rakim"
"Da Brat","Eric B. & Rakim"
"P.M. Dawn","Eric B. & Rakim"
"Kid Rock","Eric B. & Rakim"
"Delinquent Habits","Eric B. & Rakim"
"Naughty by Nature","Eric B. & Rakim"
"N.W.A","Eric B. & Rakim"
"J. Cole","Eric B. & Rakim"
"Joe Budden","Eric B. & Rakim"
"Just-Ice","Eric B. & Rakim"
"Grand Puba","Eric B. & Rakim"
"Flatbush Zombies","Eric B. & Rakim"
"Leaders of the New School","Eric B. & Rakim"
"Souls of Mischief","Eric B. & Rakim"
"Queen Latifah","Eric B. & Rakim"
"Kwamé","Eric B. & Rakim"
"MC 900 Ft. Jesus","Eric B. & Rakim"
"Pete Rock & C.L. Smooth","Eric B. & Rakim"
"Gang Starr","Eric B. & Rakim"
"Main Source","Eric B. & Rakim"
"Nice & Smooth","Eric B. & Rakim"
"Marxman","Eric B. & Rakim"
"Organized Konfusion","Eric B. & Rakim"
"Dibiase","Eric B. & Rakim"
"Big L","Eric B. & Rakim"
"Puff Daddy","Eric B. & Rakim"
"Rahzel","Eric B. & Rakim"
"Raekwon","Eric B. & Rakim"
"Son of Bazerk","Eric B. & Rakim"
"Twin Hype","Eric B. & Rakim"
"Kool G Rap & DJ Polo","Eric B. & Rakim"
"DJ Cam","Eric B. & Rakim"
"The Neptunes","Eric B. & Rakim"
"Verbal Kent","Eric B. & Rakim"
"Juice Aleem","Eric B. & Rakim"
"Big Daddy Kane","Eric B. & Rakim"
"Black Moon","Eric B. & Rakim"
"Cypress Hill","Eric B. & Rakim"
"Poor Righteous Teachers","Eric B. & Rakim"
"Statik Kxng","Eric B. & Rakim"
"Tricky","Eric B. & Rakim"
"X Clan","Eric B. & Rakim"
"Tha Alkaholiks","Eric Bobo"
"EPMD","Eric Clapton"
"Nas","Erick Sermon"
"Danny!","Erick Sermon"
"Shyne","Erick Sermon"
"Kev Brown","Erick Sermon"
"Pharoahe Monch","Erick Sermon"
"The Beatnuts","Erick Sermon"
"Irv Gotti","Erick Sermon"
"The Neptunes","Erick Sermon"
"Godfather Don","Erick Sermon"
"Jermaine Dupri","Erick Sermon"
"Keith Murray","Erick Sermon"
"Q-Ball","Erick Sermon"
"Redman","Erick Sermon"
"Rockwilder","Erick Sermon"
"Roz","Erick Sermon"
"Rick Wakeman","Erik Satie"
"Georgia Anne Muldrow","Erykah Badu"
"Sol.illaquists of Sound","Erykah Badu"
"Estelle","Erykah Badu"
"Sampa the Great","Erykah Badu"
"Lyfe Jennings","Erykah Badu"
"Beastie Boys","ESG"
"Fannypack","ESG"
"Buffalo Daughter","ESG"
"C.O.C.O.","ESG"
"Elastica","ESG"
"Interpol","ESG"
"JUCE","ESG"
"Liars","ESG"
"Lionrock","ESG"
"Luscious Jackson","ESG"
"New Order","ESG"
"Pixeltan","ESG"
"Radio 4","ESG"
"Spacer","ESG"
"Ui","ESG"
"Artfull Dodgers","Esham"
"Twiztid","Esham"
"ABK","Esham"
"Kid Rock","Esham"
"Tyler, The Creator","Esham"
"Earl Sweatshirt","Esham"
"Domo Genesis","Esham"
"Odd Future","Esham"
"Monster Rally","Esquivel"
"Kim Joyce","Estelle"
"Flatbush Zombies","Etta James"
"Thunderheist","Eurythmics"
"Lady Te","Eve"
"Angel Haze","Eve"
"Nicki Minaj","Eve"
"Crystal Caines","Eve"
"John Cena","Everlast"
"Big B","Everlast"
"John Cena","Fabolous"
"Big Sean","Fabolous"
"Don Q","Fabolous"
"G-Dragon","Fabolous"
"Kodie Shane","Fabolous"
"Lil' Mo","Faith Evans"
"Naja Shiri","Faith Evans"
"Linkin Park","Faith No More"
"Insane Clown Posse","Faith No More"
"Styles P","Fat Joe"
"Busta Flex","Fat Joe"
"Petter","Fat Joe"
"Shyne","Fat Joe"
"Wisin & Yandel","Fat Joe"
"Daddy Yankee","Fat Joe"
"Plies","Fat Joe"
"Flo Rida","Fat Joe"
"French Montana","Fat Joe"
"Al-Doe","Fat Joe"
"Big L","Fat Joe"
"Big Pun","Fat Joe"
"Bodega Bamz","Fat Joe"
"Capone-N-Noreaga","Fat Joe"
"Don Omar","Fat Joe"
"Ja Rule","Fat Joe"
"Jennifer Lopez","Fat Joe"
"Joe Budden","Fat Joe"
"Nelly","Fat Joe"
"Tego Calderón","Fat Joe"
"Z-Ro","Fat Pat"
"Southside Playaz","Fat Pat"
"Hot Chip","Fatboy Slim"
"Girl Talk","Fatboy Slim"
"Bardo Pond","Faust"
"Cabaret Voltaire","Faust"
"Chrome","Faust"
"Clinton Hensley","Faust"
"Concord Ballet Orchestra Players","Faust"
"Cul de Sac","Faust"
"Gastr del Sol","Faust"
"Howie B","Faust"
"Jim O'Rourke","Faust"
"Julian Cope","Faust"
"Labradford","Faust"
"My Bloody Valentine","Faust"
"Negativland","Faust"
"Nurse with Wound","Faust"
"Pavement","Faust"
"Stereolab","Faust"
"The Residents","Faust"
"Throbbing Gristle","Faust"
"Tortoise","Faust"
"Erick Sermon","Fearless Four"
"Rob Base & DJ E-Z Rock","Fearless Four"
"Stetsasonic","Fearless Four"
"The Rock Steady Crew","Fearless Four"
"Spearhead","Fela Kuti"
"23 Skidoo","Fela Kuti"
"Les Nubians","Fela Kuti"
"The Constellations","Fela Kuti"
"Nicki Minaj","Fergie"
"Iggy Azalea","Fergie"
"Cher Lloyd","Fergie"
"Junior Reid","Fetty Wap"
"8Ball and MJG","Field Mob"
"Faust","Fifty Foot Hose"
"Diplo","Fila Brazillia"
"Skylar Grey","Fiona Apple"
"Atello","Firehouse"
"Ozomatli","Fishbone"
"Linkin Park","Fishbone"
"N.E.R.D","Fishbone"
"Ol' Dirty Bastard","Flavor Flav"
"3OH!3","Flobots"
"Haywyre","Flying Lotus"
"Mndsgn","Flying Lotus"
"Iglooghost","Flying Lotus"
"Arca","Flying Lotus"
"Baths","Flying Lotus"
"Darkhouse Family","Flying Lotus"
"Ghibli","Flying Lotus"
"Lord RAJA","Flying Lotus"
"Pham","Flying Lotus"
"Polyenso","Flying Lotus"
"Taylor McFerrin","Flying Lotus"
"Teebs","Flying Lotus"
"Odd Nosdam","Flying Saucer Attack"
"Lil Uzi Vert","Flyleaf"
"Timbaland","Foster & McElroy"
"Flying Lotus","Four Tet"
"Botany","Four Tet"
"Ernest Gonzales","Four Tet"
"Gold Panda","Four Tet"
"Airhead","Four Tet"
"Floating Points","Four Tet"
"Marley Carroll","Four Tet"
"Seams","Four Tet"
"Shigeto","Four Tet"
"Taragana Pyjarama","Four Tet"
"Washed Out","Four Tet"
"Trina","Foxy Brown"
"Fergie","Foxy Brown"
"Yo Majesty","Foxy Brown"
"Lady Sovereign","Foxy Brown"
"Sylk-E. Fyne","Foxy Brown"
"Mia X","Foxy Brown"
"Crystal Caines","Foxy Brown"
"DreamDoll","Foxy Brown"
"Peaches","Foxy Brown"
"Princess Superstar","Foxy Brown"
"Saweetie","Foxy Brown"
"Sole","Foxy Brown"
"Kevin Abstract","Frank Ocean"
"Blackbear","Frank Ocean"
"Sergio Mendes","Frank Sinatra"
"Logic","Frank Sinatra"
"Madlib","Frank Zappa"
"Prince Paul","Frank Zappa"
"Faust","Frank Zappa"
"Basehead","Frank Zappa"
"Monie Love","Frankie Knuckles"
"Gilles Peterson","Frankie Knuckles"
"Marc Ribot","Frantz Casseus"
"Jackie Leven","Fred Neil"
"M.O.P.","Freddie Foxxx"
"Black Moon","Freddie Foxxx"
"Kenny Burrell","Freddie Green"
"Bass Junkie","Freestyle"
"Bone Thugs-N-Harmony","Freestyle Fellowship"
"Busdriver","Freestyle Fellowship"
"Dilated Peoples","Freestyle Fellowship"
"Bukue One","Freestyle Fellowship"
"Omni","Freestyle Fellowship"
"Kail","Freestyle Fellowship"
"The Living Legends","Freestyle Fellowship"
"Ammoncontact","Freestyle Fellowship"
"People Under the Stairs","Freestyle Fellowship"
"JT the Bigga Figga","Freestyle Fellowship"
"Jurassic 5","Freestyle Fellowship"
"Aloe Blacc","Freestyle Fellowship"
"The Procussions","Freestyle Fellowship"
"Swollen Members","Freestyle Fellowship"
"Eligh","Freestyle Fellowship"
"Blackalicious","Freestyle Fellowship"
"Delinquent Habits","Freestyle Fellowship"
"Macklemore & Ryan Lewis","Freestyle Fellowship"
"Souls of Mischief","Freestyle Fellowship"
"The Grouch & Eligh","Freestyle Fellowship"
"Boom Bap Project","Freestyle Fellowship"
"Latryx","Freestyle Fellowship"
"Lupe Fiasco","Freeway"
"Sir Dyno","Frost"
"Low Profile Gangsters","Frost"
"Shaquille O'Neal","Fu-Schnickens"
"Bone Thugs-N-Harmony","Fu-Schnickens"
"Flipmode Squad","Fu-Schnickens"
"Fugees","Fu-Schnickens"
"Pudgee Tha Phat Bastard","Fu-Schnickens"
"The Lost Boyz","Fu-Schnickens"
"Talib Kweli","Fugees"
"The Black Eyed Peas","Fugees"
"Won-G","Fugees"
"will.i.am","Fugees"
"Bow Wow","Fugees"
"Madcon","Fugees"
"Les Nubians","Fugees"
"Choc Quib Town","Fugees"
"Black Star","Fugees"
"Cam'ron","Fugees"
"Canibus","Fugees"
"Dilated Peoples","Fugees"
"DJ Quik","Fugees"
"Dua Lipa","Fugees"
"Jill Scott","Fugees"
"John Forté","Fugees"
"Jurassic 5","Fugees"
"Noname","Fugees"
"Outsidaz","Fugees"
"Pharoahe Monch","Fugees"
"Raja Kumari","Fugees"
"Natas","Funkadelic"
"X Clan","Funkadelic"
"Wu-Tang Clan","Funkadelic"
"Ice Cube","Funkadelic"
"5th Ward Boyz","Funkadelic"
"MC Eiht","Funkadelic"
"Esham","Funkadelic"
"Ozomatli","Funkadelic"
"Imani Coppola","Funkadelic"
"Public Enemy","Funkadelic"
"Warren G","Funkadelic"
"Cypress Hill","Funkadelic"
"Digital Underground","Funkadelic"
"Beans","Funkadelic"
"Soopafly","Funkadelic"
"Beastie Boys","Funkadelic"
"OutKast","Funkadelic"
"N.E.R.D","Funkadelic"
"Cee Lo Green","Funkadelic"
"De La Soul","Funkadelic"
"Big Boi","Funkadelic"
"Jungle Brothers","Funkadelic"
"Gnarls Barkley","Funkadelic"
"The Cool Kids","Funkadelic"
"Sa-Ra","Funkadelic"
"Sleepy Brown","Funkadelic"
"Dudley Perkins","Funkadelic"
"G&D","Funkadelic"
"KLC","Funkadelic"
"Afrika Bambaataa","Funkadelic"
"Dr. Dre","Funkadelic"
"P.M. Dawn","Funkadelic"
"Big Daddy Kane","Funkadelic"
"Gonjasufi","Funkadelic"
"Boo-Yaa T.R.I.B.E.","Funkadelic"
"Neneh Cherry","Funkadelic"
"Kool Ace","Funkadelic"
"Potluck","Funkdoobiest"
"Wise Intelligent","Funkdoobiest"
"Dilated Peoples","Funkdoobiest"
"Krondon","Funkdoobiest"
"LMNO","Funkdoobiest"
"Spank Rock","Funkdoobiest"
"DJ Khaled","Funkmaster Flex"
"Statik Selektah","Funkmaster Flex"
"Danger Mouse","Funkmaster Flex"
"Dead Prez","Funkmaster Flex"
"DJ Diamond Kuts","Funkmaster Flex"
"DJ Envy","Funkmaster Flex"
"DJ Kayslay","Funkmaster Flex"
"Mac Dre","Funkmaster Flex"
"Wendy Williams","Funkmaster Flex"
"Darc Mind","Funky 4 + 1"
"Schoolly D","Funky 4 + 1"
"The Egyptian Lover","Funky 4 + 1"
"KRS-One","Funky Four Plus One"
"MC Lyte","Funky Four Plus One"
"Audio Two","Funky Four Plus One"
"Kool Moe Dee","Funky Four Plus One More"
"24hrs","Future"
"Fat Nick","Future"
"Loso Loaded","Future"
"Nessly","Future"
"Raja Kumari","Future"
"Sheck Wes","Future"
"Stunt Taylor","Future"
"Bandhunta Izzy","G Herbo"
"Stray Kids","G-Dragon"
"Hare Squead","G-Unit"
"Jez Dior","G-Unit"
"Maybach Music","G-Unit"
"Shoreline Mafia","G-Unit"
"2 Skinnee J's","G. Love & Special Sauce"
"Donavon Frankenreiter","G. Love & Special Sauce"
"Ed Sheeran","G. Love & Special Sauce"
"Jack Johnson","G. Love & Special Sauce"
"Marc Broussard","G. Love & Special Sauce"
"Maroon 5","G. Love & Special Sauce"
"Slightly Stoopid","G. Love & Special Sauce"
"Uncle Kracker","G. Love & Special Sauce"
"Steinski","G.L.O.B.E. & Whiz Kid"
"Shawn Lee","Galt MacDermot"
"Les Gammas","Gamble & Huff"
"GZA","Gang Starr"
"Fat Joe","Gang Starr"
"The Notorious B.I.G.","Gang Starr"
"Aceyalone","Gang Starr"
"Nas","Gang Starr"
"Jay-Z","Gang Starr"
"Wu-Tang Clan","Gang Starr"
"Beanie Sigel","Gang Starr"
"The Roots","Gang Starr"
"Lupe Fiasco","Gang Starr"
"Hilltop Hoods","Gang Starr"
"Talib Kweli","Gang Starr"
"Dilated Peoples","Gang Starr"
"Aesop Rock","Gang Starr"
"DJ Hi-Tek","Gang Starr"
"Redman","Gang Starr"
"Sean Price","Gang Starr"
"Everlast","Gang Starr"
"Madlib","Gang Starr"
"The Presence","Gang Starr"
"The Black Eyed Peas","Gang Starr"
"Mos Def","Gang Starr"
"Slum Village","Gang Starr"
"Consequence","Gang Starr"
"AZ","Gang Starr"
"Jeru the Damaja","Gang Starr"
"Atmosphere","Gang Starr"
"Lyrics Born","Gang Starr"
"Blac Haze","Gang Starr"
"DJ Logic","Gang Starr"
"Kidz in the Hall","Gang Starr"
"Maspyke","Gang Starr"
"will.i.am","Gang Starr"
"Jurassic 5","Gang Starr"
"Mr. Lif","Gang Starr"
"Apathy","Gang Starr"
"Bahamadia","Gang Starr"
"Quasimoto","Gang Starr"
"Blackalicious","Gang Starr"
"Blue Scholars","Gang Starr"
"Porn Theatre Ushers","Gang Starr"
"Fugees","Gang Starr"
"Big Syke","Gang Starr"
"Themselves","Gang Starr"
"Freestyle Fellowship","Gang Starr"
"Digable Planets","Gang Starr"
"Pete Rock & C.L. Smooth","Gang Starr"
"Boogiemonsters","Gang Starr"
"Rise & Shine","Gang Starr"
"Rahzel","Gang Starr"
"Neneh Cherry","Gang Starr"
"DJ Krush","Gang Starr"
"Brand Nubian","Gang Starr"
"DMX","Gang Starr"
"Group Home","Gang Starr"
"M.O.P.","Gang Starr"
"Mobb Deep","Gang Starr"
"Pete Rock","Gang Starr"
"Showbiz & A.G.","Gang Starr"
"Statik Kxng","Gang Starr"
"Unladylike","Gangsta Boo"
"Skylar Grey","Garbage"
"Moonshine Bandits","Garth Brooks"
"Kenny Burrell","Gene Ammons"
"Travis Barker","Genesis"
"Natas","George Clinton"
"Snoop Dogg","George Clinton"
"Ice Cube","George Clinton"
"Aesop Rock","George Clinton"
"50 Cent","George Clinton"
"Ol' Dirty Bastard","George Clinton"
"Kool Keith","George Clinton"
"OutKast","George Clinton"
"De La Soul","George Clinton"
"El Pus","George Clinton"
"Prince Paul","George Clinton"
"The Knux","George Clinton"
"Kokane","George Clinton"
"The Sugarhill Gang","George Clinton"
"Sleepy Brown","George Clinton"
"Afrika Bambaataa","George Clinton"
"Eazy-E","George Clinton"
"Dr. Dre","George Clinton"
"N.W.A","George Clinton"
"Biz Markie","George Clinton"
"Ant Banks","George Clinton"
"Kwamé","George Clinton"
"Tha Eastsidaz","George Clinton"
"The Neptunes","George Clinton"
"Low Profile","George Clinton"
"Jermaine Dupri","George Clinton"
"Kool Ace","George Clinton"
"Nicholas Britell","George Gershwin"
"Colt Ford","George Strait"
"Moonshine Bandits","George Strait"
"Kenny Burrell","George Van Eps"
"Hiatus Kaiyote","Georgia Anne Muldrow"
"Jamila Woods","Georgia Anne Muldrow"
"E.S.G.","Geto Boys"
"Lil' Flip","Geto Boys"
"Do or Die","Geto Boys"
"Eminem","Geto Boys"
"Paul Wall","Geto Boys"
"Tommy Wright III","Geto Boys"
"Pastor Troy","Geto Boys"
"Screwed Up Click","Geto Boys"
"Bizzy Bone","Geto Boys"
"Lil Jon","Geto Boys"
"Juvenile","Geto Boys"
"The Notorious B.I.G.","Geto Boys"
"Project Pat","Geto Boys"
"Master P","Geto Boys"
"Chamillionaire","Geto Boys"
"Trick Daddy","Geto Boys"
"Ludacris","Geto Boys"
"Pimp C","Geto Boys"
"Spice 1","Geto Boys"
"Obie Trice","Geto Boys"
"DJ Screw","Geto Boys"
"The Dayton Family","Geto Boys"
"C-BO","Geto Boys"
"Brotha Lynch Hung","Geto Boys"
"Keak da Sneak","Geto Boys"
"Mobb Deep","Geto Boys"
"Mike Jones","Geto Boys"
"Crunchy Black","Geto Boys"
"Slim Thug","Geto Boys"
"8Ball","Geto Boys"
"Gucci Mane","Geto Boys"
"South Park Mexican","Geto Boys"
"Lil O","Geto Boys"
"Lil' Keke","Geto Boys"
"C-Murder","Geto Boys"
"Clipse","Geto Boys"
"Tech N9ne","Geto Boys"
"Three 6 Mafia","Geto Boys"
"Z-Ro","Geto Boys"
"Bone Thugs-N-Harmony","Geto Boys"
"Esham","Geto Boys"
"Funkdoobiest","Geto Boys"
"Lord Infamous","Geto Boys"
"8Ball and MJG","Geto Boys"
"Kingpin Skinny Pimp","Geto Boys"
"Tela","Geto Boys"
"Soulja Boy Tell Em","Geto Boys"
"Yukmouth","Geto Boys"
"Prophet Posse","Geto Boys"
"Lil Rob","Geto Boys"
"Dark Lotus","Geto Boys"
"Gangsta Blac","Geto Boys"
"Necro","Geto Boys"
"Tru","Geto Boys"
"D12","Geto Boys"
"The Kaze","Geto Boys"
"Ja Rule","Geto Boys"
"Black Mophia Clan","Geto Boys"
"Fat Pat","Geto Boys"
"Gangsta Pat","Geto Boys"
"A.W.O.L.","Geto Boys"
"Bootleg","Geto Boys"
"Lil' Blunt","Geto Boys"
"Tom Skeemask","Geto Boys"
"Nelly","Geto Boys"
"Big Hawk","Geto Boys"
"Big Pokey","Geto Boys"
"Onyx","Geto Boys"
"Re-Up Gang","Geto Boys"
"Boyz N da Hood","Geto Boys"
"Yungstar","Geto Boys"
"Big Mike","Geto Boys"
"ABK","Geto Boys"
"Flo Rida","Geto Boys"
"MJG","Geto Boys"
"Devin the Dude","Geto Boys"
"Webbie","Geto Boys"
"The Saturday Knights","Geto Boys"
"Anybody Killa","Geto Boys"
"Lil' Troy","Geto Boys"
"House of Pain","Geto Boys"
"Detroit's Most Wanted","Geto Boys"
"Mr. Mike","Geto Boys"
"Juicy J","Geto Boys"
"DJ Paul","Geto Boys"
"The Project Playaz","Geto Boys"
"Snypaz","Geto Boys"
"Al Kapone","Geto Boys"
"Poison Clan","Geto Boys"
"Lunasicc","Geto Boys"
"Mastamind","Geto Boys"
"Manson Family","Geto Boys"
"Cash Money Millionaires","Geto Boys"
"Ballin' A$$ Dame","Geto Boys"
"Southside Playaz","Geto Boys"
"M-Child","Geto Boys"
"Thugz From da Southside","Geto Boys"
"Botany Boyz","Geto Boys"
"Shoestring","Geto Boys"
"Boondox","Geto Boys"
"The Hard Boys","Geto Boys"
"Boss","Geto Boys"
"Violent J","Geto Boys"
"MC Mack","Geto Boys"
"Crime Boss","Geto Boys"
"Young Problemz","Geto Boys"
"Ghetto E","Geto Boys"
"Dog House Posse","Geto Boys"
"South Circle","Geto Boys"
"Tear Da Club Up Thugs","Geto Boys"
"Ganksta N-I-P","Geto Boys"
"Insane Clown Posse","Geto Boys"
"Kid Rock","Geto Boys"
"Twiztid","Geto Boys"
"Ghetto Mafia","Ghetto Boys"
"N.O.H. Mafia","Ghetto Boys"
"Mental Ward Click","Ghetto Boys"
"k-os","Ghetto Concept"
"Kardinal Offishall","Ghetto Concept"
"Killer Mike","Ghostface Killah"
"Killa Sha","Ghostface Killah"
"Blac Haze","Ghostface Killah"
"Cadence Weapon","Ghostface Killah"
"Young Jeezy","Ghostface Killah"
"Action Bronson","Ghostface Killah"
"Cam'ron","Ghostface Killah"
"Jadakiss","Ghostface Killah"
"Juelz Santana","Ghostface Killah"
"Dr. Dre","Gigolo Tony"
"The Coup","Gil Scott-Heron"
"Brotha Lynch Hung","Gil Scott-Heron"
"Common","Gil Scott-Heron"
"Killer Mike","Gil Scott-Heron"
"Public Enemy","Gil Scott-Heron"
"Saul Williams","Gil Scott-Heron"
"Spearhead","Gil Scott-Heron"
"G. Love","Gil Scott-Heron"
"Carl Hancock Rux","Gil Scott-Heron"
"Black Panther Fugitives","Gil Scott-Heron"
"Jungle Brothers","Gil Scott-Heron"
"Guru","Gil Scott-Heron"
"Ursula Rucker","Gil Scott-Heron"
"The Sugarhill Gang","Gil Scott-Heron"
"Arrested Development","Gil Scott-Heron"
"Black Ice","Gil Scott-Heron"
"Fugees","Gil Scott-Heron"
"Boogie Down Productions","Gil Scott-Heron"
"Lando Chill","Gil Scott-Heron"
"Digable Planets","Gil Scott-Heron"
"MC 900 Ft. Jesus","Gil Scott-Heron"
"Treacherous Three","Gil Scott-Heron"
"Company Flow","Gil Scott-Heron"
"Neneh Cherry","Gil Scott-Heron"
"The Disposable Heroes of Hiphoprisy","Gil Scott-Heron"
"GLC","Gil Scott-Heron"
"Alabama Shakes","Gil Scott-Heron"
"Black Star","Gil Scott-Heron"
"Blackalicious","Gil Scott-Heron"
"Dilated Peoples","Gil Scott-Heron"
"Jamiroquai","Gil Scott-Heron"
"Jason Moran","Gil Scott-Heron"
"OutKast","Gil Scott-Heron"
"Poor Righteous Teachers","Gil Scott-Heron"
"The Roots","Gil Scott-Heron"
"Underworld","Gil Scott-Heron"
"Meek Mill","Gillie da Kid"
"Pretty Ricky","Ginuwine"
"T-Pain","Ginuwine"
"Mantronix","Giorgio Moroder"
"Arthur Baker","Giorgio Moroder"
"Kid Capri","Giorgio Moroder"
"Grace","Gladys Knight"
"Rick Wakeman","Glenn Gould"
"Vermont","Global Communication"
"Ivy Queen","Gloria Estefan"
"Kid Cudi","Gnarls Barkley"
"Broken Bells","Gnarls Barkley"
"Rob Milton","Gnarls Barkley"
"DJ Hi-Tek","Godfather Don"
"Dälek","Godflesh"
"Wiley","Goldie"
"Pastor Troy","Goodie Mob"
"Young Buck","Goodie Mob"
"Ludacris","Goodie Mob"
"Lil' Keke","Goodie Mob"
"Young Dro","Goodie Mob"
"Kanye West","Goodie Mob"
"Birdman","Goodie Mob"
"Killer Mike","Goodie Mob"
"Dem Franchize Boyz","Goodie Mob"
"Nelly","Goodie Mob"
"Boyz N da Hood","Goodie Mob"
"CunninLynguists","Goodie Mob"
"Nappy Roots","Goodie Mob"
"Bubba Sparxxx","Goodie Mob"
"Da BackWudz","Goodie Mob"
"Al Kapone","Goodie Mob"
"Waka Flocka Flame","Goodie Mob"
"Deniro Farrar","Goodie Mob"
"Boogiemonsters","Goodie Mob"
"Mighty Igloo Crew","Goodie Mob"
"Boondox","Goodie Mob"
"Yung L.A.","Goodie Mob"
"Backwood Boys","Goodie Mob"
"DJ Esco","Goodie Mob"
"Moor Mother","Goodie Mob"
"Chef'Special","Gotcha!"
"Princess Superstar","Grace Jones"
"Kid 'N Play","Grace Jones"
"Nicki Minaj","Grace Jones"
"Shamir","Grace Jones"
"Compton's Most Wanted","Graham Central Station"
"Stetsasonic","Graham Central Station"
"Roc Marciano","Grand Daddy I.U."
"DJ Krush","Grand Mixer D-ST"
"Aceyalone","Grand Puba"
"Pharoahe Monch","Grand Puba"
"Craig Mack","Grand Puba"
"Buck Wild","Grand Puba"
"El Da Sensei","Grand Puba"
"J-Live","Grand Puba"
"DJ Screw","Grand Wizard Theodore"
"The X-ecutioners","Grand Wizard Theodore"
"DJ Krush","Grand Wizard Theodore"
"Pete Rock","Grandmaster Caz"
"DJ Krush","Grandmaster Caz"
"DJ Jazzy Jeff","Grandmaster Flash"
"The X-ecutioners","Grandmaster Flash"
"DJ Logic","Grandmaster Flash"
"Kid Koala","Grandmaster Flash"
"Cut Chemist","Grandmaster Flash"
"DJ Shadow","Grandmaster Flash"
"DJ Spooky","Grandmaster Flash"
"Funkmaster Flex","Grandmaster Flash"
"DJ Premier","Grandmaster Flash"
"DJ Godfather","Grandmaster Flash"
"Mix Master Mike","Grandmaster Flash"
"DJ Murdermixx","Grandmaster Flash"
"DJ Hurricane","Grandmaster Flash"
"Terminator X","Grandmaster Flash"
"Jam Master Jay","Grandmaster Flash"
"The Chemical Brothers","Grandmaster Flash"
"KRS-One","Grandmaster Flash & the Furious Five"
"DJ Screw","Grandmaster Flash & the Furious Five"
"Boot Camp Clik","Grandmaster Flash & the Furious Five"
"Twista","Grandmaster Flash & the Furious Five"
"Talib Kweli","Grandmaster Flash & the Furious Five"
"Dilated Peoples","Grandmaster Flash & the Furious Five"
"Drama","Grandmaster Flash & the Furious Five"
"Del the Funky Homosapien","Grandmaster Flash & the Furious Five"
"Digital Underground","Grandmaster Flash & the Furious Five"
"Ultramagnetic MC's","Grandmaster Flash & the Furious Five"
"Hieroglyphics","Grandmaster Flash & the Furious Five"
"Die Fantastischen Vier","Grandmaster Flash & the Furious Five"
"Pete Rock","Grandmaster Flash & the Furious Five"
"DJ Quik","Grandmaster Flash & the Furious Five"
"Will Smith","Grandmaster Flash & the Furious Five"
"Pharoahe Monch","Grandmaster Flash & the Furious Five"
"Masta Ace","Grandmaster Flash & the Furious Five"
"Afrika Bambaataa & the Soulsonic Force","Grandmaster Flash & the Furious Five"
"MC Hammer","Grandmaster Flash & the Furious Five"
"Freestyle Fellowship","Grandmaster Flash & the Furious Five"
"The Fat Boys","Grandmaster Flash & the Furious Five"
"Kool Moe Dee","Grandmaster Flash & the Furious Five"
"Heavy D & the Boyz","Grandmaster Flash & the Furious Five"
"Leaders of the New School","Grandmaster Flash & the Furious Five"
"Masta Ace Incorporated","Grandmaster Flash & the Furious Five"
"Shinehead","Grandmaster Flash & the Furious Five"
"Knowdaverbs","Grandmaster Flash & the Furious Five"
